episode,exp
0,0.5103779815
10000,0.4810348798
20000,0.3300273633
30000,0.3203358328
60000,0.1886497255
90000,0.1487918923
120000,0.1414614688
150000,0.1319162977
180000,0.1276591367
210000,0.1294307412
240000,0.1234197887
270000,0.1236441891
300000,0.1368056413
330000,0.1416000219
360000,0.1543418493
390000,0.1548560971
420000,0.1467848711
450000,0.1531210609
480000,0.1579358535
510000,0.1561400603
540000,0.1536517349
570000,0.1543732895
600000,0.1527217404
630000,0.1500041475
660000,0.1404578002
690000,0.1459575544
720000,0.1408197786
750000,0.1324636635
780000,0.134163174
810000,0.139382063
840000,0.1260911873
870000,0.1233897927
900000,0.1231007736
930000,0.1074673131
960000,0.1060823335
990000,0.1060301438
